name,start_time,end_time,day,location
Rhyme Time,14:30,15:00,Wednesday,Mickleham North Community Centre
Rhyme Time,10:00,10:30,Friday,Sunbury Library
Rhyme Time,10:00,10:30,Friday,Kalkallo Community Centre
Rhyme Time,10:15,10:45,Friday,Broadmeadows Library
Rhyme Time,10:15,10:45,Friday,Craigieburn Library
Bilingual Storytime: Turkish,11:30,12:15,Monday,Broadmeadows Library
Bilingual Storytime: Arabic,13:00,13:45,Wednesday,Broadmeadows Library
Bilingual Storytime: Assyrian,11:00,11:45,Thursday,Broadmeadows Library
Bilingual Storytime: Sinhala,11:00,11:45,Monday,Craigieburn Library
Bilingual Storytime: Arabic,11:00,11:45,Wednesday,Craigieburn Library
Bilingual Storytime: Turkish,13:00,13:45,Wednesday,Craigieburn Library
Bilingual Storytime: Hindi,11:00,11:45,Thursday,Craigieburn Library
Bilingual Storytime: Assyrian,13:00,13:45,Friday,Craigieburn Library
Bilingual Storytime: Punjabi,11:30,12:30,Friday,Kalkallo Community Centre
Bilingual Storytime: Punjabi,11:00,12:00,Monday,Mickleham North Community Centre
Books and Bubs,11:00,11:30,Thursday,Sunbury Library
Creative Kids,16:00,17:00,Thursday,Tullamarine Library
Early Help Community Group,11:00,12:00,Wednesday,Broadmeadows Library
Baby Playtime,09:30,11:00,Saturday,Tullamarine Library
Bookaburra Storytime,09:15,10:00,Monday,Mt Dandenong Primary School
Bookaburra Storytime,09:30,10:15,Tuesday,Mt Evelyn Community House
Bookaburra Storytime,09:15,10:00,Tuesday,Monbulk Living and Learning Centre - Reading Room
Bookaburra Storytime,09:15,10:00,Wednesday,Japara Neighbourhood House
Bookaburra Storytime,09:15,10:00,Thursday,Chirnside Park Community Hub
Bookaburra Storytime,09:15,10:00,Friday,Victoria Road Primary School
Baby Rhyme Time,10:30,11:00,Monday,Daylesford Library
Baby Rhyme Time,10:30,11:00,Tuesday,Creswick Library
Baby Rhyme Time,11:00,11:30,Wednesday,Trentham Library
Baby Rhyme Time,11:30,12:00,Thursday,Clunes Library
Storytime,10:30,11:00,Friday,Daylesford Library
Storytime (followed by Craft),10:00,11:00,Thursday,Bright Library
Rhyme Time,10:00,11:00,Friday,Bright Library
Storytime (followed by Craft),14:30,15:30,Thursday,Mount Beauty Library
Rhyme Time,10:00,11:00,Wednesday,Myrtleford Library
Storytime (followed by Craft),11:00,12:00,Thursday,Myrtleford Library
Baby Bounce,10:00,10:30,Tuesday,Caroline Springs Library & Learning Hub
Baby Bounce,11:30,12:00,Wednesday,Caroline Springs Library & Learning Hub
Baby Bounce,11:30,12:00,Tuesday,Melton Library & Learning Hub
Baby Bounce,11:30,12:00,Wednesday,Melton Library & Learning Hub
Toddler Time,10:00,10:30,Friday,Caroline Springs Library & Learning Hub
Toddler Time,11:00,11:30,Friday,Caroline Springs Library & Learning Hub
Toddler Time,10:00,10:30,Monday,Melton Library & Learning Hub
Toddler Time,10:00,10:30,Thursday,Melton Library & Learning Hub
Preschool Storytime,10:00,10:30,Wednesday,Caroline Springs Library & Learning Hub
Preschool Storytime,10:00,10:30,Tuesday,Melton Library & Learning Hub
Family Tales,11:00,11:30,Saturday,Caroline Springs Library & Learning Hub
Family Tales,11:00,11:30,Saturday,Melton Library & Learning Hub
Preschool Storytime,10:00,10:30,Wednesday,Caroline Springs Library & Learning Hub
Preschool Storytime,10:00,10:30,Tuesday,Melton Library & Learning Hub
Family Tales,11:00,11:30,Saturday, Melton Library & Learning Hub
After Schooligans,15:45,16:30,Tuesday,Melton Library & Learning Hub
After Schooligans,15:45,16:30,Tuesday,Caroline Springs Library & Learning Hub
Preschool Storytime,10:00,10:30,Wednesday,Caroline Springs Library & Learning Hub
Preschool Storytime,10:00,10:30,Tuesday,Melton Library & Learning Hub
Family Tales,11:00,11:30,Saturday,Caroline Springs Library & Learning Hub
After Schooligans,15:45,16:30,Tuesday,Melton Library & Learning Hub
After Schooligans,15:45,16:30,Tuesday,Caroline Springs Library & Learning Hub
Rhythm and Rhymes,10:30,11:00,Monday,Hyphen Wodonga
Stars,10:30,11:30,Thursday,Hyphen Wodonga
Cuddles,10:30,11:00,Friday,Hyphen Wodonga
Stay and Play,11:00,11:30,Monday,Hyphen Wodonga
Stay and Play,11:00,11:30,Friday,Hyphen Wodonga
Baby Rhyme Time,10:00,10:45,Tuesday,Doveton Library
Baby Rhyme Time,10:15,11:00,Tuesday,Endeavour Hills Library
Baby Rhyme Time,10:30,11:15,Tuesday,Cranbourne West Library Lounge
Baby Rhyme Time,11:00,11:45,Tuesday,Hampton Park Library
Storytime,10:00,10:45,Wednesday,Clyde Township Family and Community Centre
Evening Storytime,18:30,19:15,Wednesday,Cranbourne Library
Family Storytime,10:30,11:15,Thursday,Cranbourne West Library Lounge
Storytime,10:00,10:45,Tuesday,Manna Gum Community Centre
Storytime,10:00,10:45,Monday,Doveton Library
Storytime,10:00,10:45,Monday,Orana Community Place
Storytime,11:00,11:45,Monday,Endeavour Hills Library
Afterschool Storytime,16:00,16:45,Monday,Doveton Library
Storytime,11:00,11:45,Thursday,Hampton Park Library
Storytime,10:00,10:45,Wednesday,Casey Central Shopping Centre
Storytime,11:00,11:45,Friday,Endeavour Hills Shopping Centre
