State,Council,What's On?,Icon,Short description,Suitable for,Day,Time,Where?,Address,Timezone,Term dates
NSW,Randwick City Council,Story Town,teddy_book,"Come on down to Storytown! We will have a great time reading stories, and doing a creative activity at the library. Each week we will explore a new theme - what will you learn at Storytown? Every child who visits Storytown will be given a special passport which will be stamped at each visit. Collect six stamps to get a book prize! Free. Bookings essential online (bookings open one week in advance) https://www.eventbrite.com.au/e/802135517927",3 - 5 years,Tuesday,11:15am - 11:45am,Margaret Martin Library,"Level 1, Royal Randwick Shopping Centre, Belmore Road, Randwick NSW 2031",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Bop 2 Books ,music_book,"Bop 2 Books is a weekly program for children aged between 24 - 36 months. Featuring rhymes, music and stories for young children and their parents or carers every week of the year on Tuesdays, except school holidays and public holidays. Come along and Bop! Bookings essential online (bookings open one week in advance). You must book into each session you wish to attend https://www.eventbrite.com.au/e/802045077417",2 - 3 years,Wednesday,10:30am - 11:00am,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Story Town,teddy_book,"Come on down to Storytown! We will have a great time reading stories, and doing a creative activity at the library. Each week we will explore a new theme - what will you learn at Storytown? Every child who visits Storytown will be given a special passport which will be stamped at each visit. Collect six stamps to get a book prize! Free. Bookings essential online (bookings open one week in advance) https://www.eventbrite.com.au/e/802240391607",3 - 5 years,Wednesday,11:15am - 11:45am,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Come and Play in Maroubra ,blocks,"Make a play date with the library. Drop in at any time throughout the session to enjoy lots of toys, games, learning and fun!",0 - 5 years,"1st Friday of the month, until Dec 6, 2024",10:00am - 12:00pm,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Tinker Time,?,"Come along and Tinker! Get ready to dive into hands-on, self-guided STEM fun. Explore a variety of exciting stations packed with creative challenges and sensory-rich construction activities. Unleash your creativity—build, explore, and experiment your way! Bookings essential online https://www.eventbrite.com.au/e/1021350746577",5 - 8 years,"Every 2 weeks on Wednesday, until Dec 11, 2024",4:00pm - 5:00pm,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Babies Love Books,music_book,Come along to sing songs and listen to stories with your baby! Bookings essential online (bookings open one week in advance) https://www.eventbrite.com.au/e/802130753677,0 years ,Friday,10:00am - 10:30am,Margaret Martin Library,"Level 1, Royal Randwick Shopping Centre, Belmore Road, Randwick NSW 2031",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Busy Book Worms,music_book,"Bring your busy little bookworm to our supportive and playful learning space where they will have a happy time developing language skills through songs, movement and stories! Bookings essential online (bookings open one week in advance) https://www.eventbrite.com.au/e/800454229147   ",1 - 2 years,Friday,10:45am - 11:15am,Margaret Martin Library,"Level 1, Royal Randwick Shopping Centre, Belmore Road, Randwick NSW 2031",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Russian Rhyme Time | Poteshka,baby,"Russian Rhyme Time is a monthly program for children between 0-5 years. Children can enjoy music, rhymes and stories in Russian every month of the year, except on public holidays. Bookings essential online for each session https://www.eventbrite.com.au/e/847860512617  ",0 - 5 years,Friday,11:30am - 12:00pm,Margaret Martin Library,"Level 1, Royal Randwick Shopping Centre, Belmore Road, Randwick NSW 2031",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Saturday Story Time,teddy_book,"Rhymes, music and stories for young children between 0-5 years and their parents or carers, running every week.",0 - 5 years,Saturday,10:30am - 11:00am,Malabar Community Library,"1203 Anzac Parade, Matraville NSW 2036",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Sensory Story Time,teddy_book,"Join us for a fun and interactive storytime with books, songs, movement and therapeutic sensory play within a small group setting. Sensory Storytime is an inclusive early literacy and social play program aimed at autistic children and children with sensory processing differences. Bookings essential online (bookings open one month in advance) https://www.eventbrite.com.au/e/784152891407 ",2 - 5 years,Tuesday,10:30am - 11:30am,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Sing Along in Cantonese,baby,"A monthly early literacy program for children 0-5 years. Enjoy songs, rhymes and storytelling in Cantonese. Bookings are essential https://www.eventbrite.com.au/e/795741563437 ",0 - 5 years,"Every month on the 1st Wednesday of the month, until Dec 4, 2024",10:00am - 10:30am,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Randwick City Council,Babies Love Books in French - Les Bébés Aiment Les Livres,baby,"A monthly program for children 0-5 years. Enjoy music, rhymes and stories in French language. Bookings essential https://www.eventbrite.com.au/e/829751829057 ",0 - 5 years,"Every month on the 1st Wednesday of the month, until Dec 4, 2024",10:45am - 11:15am,Lionel Bowen Library,"669-673 Anzac Pde, Maroubra NSW 2035",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Baby Rhyme Time,baby,30 minutes of songs and rhymes for children aged 0-18 months. ,0 - 1.5 years,Tuesday,10:30am - 11:00am,Arncliffe Library,"11 Firth St, Arncliffe NSW 2205",AEDT,Not available in school holidays or public holidays
NSW,Bayside Council,Toddler Time,baby,"30 minutes of songs, games and stories for toddlers up to age 3. ",1.5 - 3 years,Wednesday,10:30am - 11:00am,Arncliffe Library,"11 Firth St, Arncliffe NSW 2205",AEDT,Not available in school holidays or public holidays
