name,start_time,end_time,day,location
Storytime,10:30,11:00,Thursday,Falcon Library
Play Time,10:00,11:30,Friday,Manning Library
Tumble Tots,09:30,10:30,Wednesday,Thornlie Library
Toddler Time,09:30,10:15,Thursday,Manning Library
Storytime,11:00,11:30,Monday,High Wycombe Library
Storytime,11:00,11:30,Thursday,Kalamunda Library
Storytime,11:00,11:30,Thursday,Forrestfield Library
Little Explorers,10:30,11:00,Monday,Bunbury Public Library
Creative Kids,09:30,10:30,Saturday,Huntingdale Community Centre
Sensory Storytime,10:30,11:15,Tuesday,A.H. Bracks Library
Story Time,10:30,11:15,Tuesday,Mundaring Library
Story Time,10:30,11:15,Thursday,Mundaring Library
Story Time,10:30,11:15,Wednesday,Boya Library
Story Time,10:30,11:15,Friday,Boya Library
Story Time,10:00,10:30,Tuesday,Mundijong Library
Story Time,10:00,10:30,Thursday,Mundijong Library
Story Time,10:30,11:00,Friday,Bunbury Public Library
Storytime,10:30,11:00,Monday,Bayswater Library
Storytime,10:30,11:00,Tuesday,Maylands Library
Storytime,10:30,11:00,Wednesday,Morley Library
Storytime,10:30,11:00,Thursday,Maylands Library
Storytime,10:30,11:00,Friday,Bayswater Library
Sensory Storytime,10:30,11:30,Tuesday,Morley Library
Chinese Language Songs & Stories,10:30,11:00,Wednesday,Dianella Library
Storytime,10:30,11:00,Tuesday,Subiaco Library
Storytime,10:30,11:00,Friday,Subiaco Library
It's All About Stories,10:30,11:00,Tuesday,Clarkson Library
It's All About Stories,10:30,11:00,Thursday,Clarkson Library
It's All About Stories,10:30,11:00,Friday,Girrawheen Library
It's All About Stories,10:30,11:00,Thursday,Wanneroo Library
It's All About Stories,10:30,11:00,Thursday,Yanchep/Two Rocks Library
Storytime,10:30,11:00,Tuesday,Margaret River Library
Learning English Through Storytime (LETS),10:30,11:30,Monday,Armadale Library
Tumble Tots,10:30,11:30,Wednesday,Thornlie Library
Story Time,10:30,11:30,Tuesday,South Perth Library
Gentle Sensory Story Time,10:30,11:30,Tuesday,Manning Library
Storytime,10:30,11:00,Thursday,Albany Regional Library – Storytime Area
Storytime,10:30,11:00,Tuesday,Busselton Library
Storytime,10:30,11:00,Wednesday,Dunsborough Library
Stories,09:30,10:30,Wednesday,Cannington Library
Stories,09:30,10:30,Tuesday,Riverton Library
Stories,10:00,11:00,Friday,Willetton Library
ABCD English,09:45,11:00,Thursday,Cannington Library
Pre-school Storytime,10:30,11:00,Monday,Dianella Library
Pre-school Storytime,10:30,11:00,Friday,Inglewood Library
Pre-school Storytime,10:30,11:00,Thursday,Karrinyup Library
Pre-school Storytime,10:30,11:00,Tuesday,Mirrabooka Library
Pre-school Storytime,10:30,11:00,Tuesday,Osborne Library
Pre-school Storytime,10:30,11:00,Wednesday,Scarborough Library
Pre-school Storytime,10:30,11:00,Wednesday,Scarborough Library
Discover and Create,10:00,11:00,Saturday,Forrestfield Library
STEAM Junior,15:30,16:00,Tuesday,Bunbury Public Library
LEGO Club,15:30,16:30,Wednesday,Mundijong Library
LEGO Club,10:00,11:00,Saturday,Mundijong Library
Creative Older Kids,15:30,16:30,Thursday,Huntingdale Community Centre
Make It Club,15:30,16:30,Tuesday,Maylands Library
Make It Club,15:30,16:30,Thursday,Bayswater Library
Make It Club,15:30,16:30,Friday,Morley Library
LEGO Club,15:30,16:30,Thursday,Osborne Library
LEGO Club,15:30,16:30,Friday,Inglewood Library
LEGO Club,15:30,16:15,Tuesday,Yanchep Library
LEGO Club,15:30,16:30,Wednesday,Girrawheen Library
LEGO Club,15:30,16:15,Thursday,Clarkson Library
LEGO Club,10:30,11:30,Saturday,Wanneroo Library
Crafternoon,15:30,16:30,Monday,High Wycombe Library
Lego Club,09:00,10:00,Saturday,Lesmurdie Library
Lego Club,09:00,10:00,Saturday,High Wycombe Library
Junior Chess Club,15:45,17:00,Monday,Clarkson Library
STEAM Discoverers,15:30,16:00,Thursday,Bunbury Public Library
Toddler Rhymetime,10:00,10:30,Monday,Broome Public Library
Story Time,10:00,10:30,Tuesday,Broome Public Library
Lego Club,15:00,16:30,Friday,Broome Public Library
STEAM Art Club,10:00,10:30,Wednesday,Broome Public Library
First Nations Story Time,10:00,10:30,Wednesday,Broome Public Library
Baby Rhyme Time,10:00,10:30,Friday,Broome Public Library
Rhyme Time,11:00,11:30,Monday,Greater Geraldton Library
Storytime,10:30,11:30,Tuesday,Greater Geraldton Library
Baby Rhyme Time,11:00,11:30,Wednesday,Greater Geraldton Library
Storytime,14:00,15:00,Thursday,Perth Library
Toddler Rhymetime,11:00,12:00,Tuesday,Perth Library
Baby Rhymetime,11:00,11:30,Thursday,Perth Library
Storytime,10:00,10:30,Tuesday,Roebourne Library
Storytime,10:30,11:00,Wednesday,Wickham Library
Storytime,10:00,10:30,Wednesday,Dampier Library
Storytime,10:00,10:30,Friday,Karratha Library
Rhyme Time,10:00,10:30,Tuesday,Karratha Library
Rhyme Time,10:30,11:00,Thursday,Wickham Library
Rhyme Time,10:00,10:30,Thursday,Dampier Library
Story Time,10:00,10:30,Thursday,Geraldton Regional Library
Rhyme Time,11:00,11:30,Thursday,Geraldton Regional Library
Story Time,10:00,10:30,Friday,Geraldton Regional Library
Rhyme Time,11:00,11:30,Friday,Geraldton Regional Library
Story Time,11:00,11:30,Tuesday,William Grundt Memorial Library
Story Time,10:00,10:30,Friday,William Grundt Memorial Library
Baby Rhyme Time,10:00,10:30,Tuesday,William Grundt Memorial Library
